Date,Global_Uranium_Demand
2007-01-01,66529
2007-03-01,66529
2007-05-01,66529
2007-07-01,66529
2007-08-01,66529
2007-09-01,66529
2007-10-01,66529
2007-12-01,64615
2008-01-01,64615
2008-03-01,64615
2008-07-01,64615
2008-09-01,64615
2008-10-01,64615
2009-01-01,64615
2009-02-01,65405
2009-04-01,65405
2009-05-01,65405
2009-06-01,65405
2009-08-01,65405
2009-09-01,65405
2009-10-01,65405
2009-12-01,65405
2010-01-01,68646
2010-02-01,68646
2010-04-01,68646
2010-05-01,68646
2010-06-01,68646
2010-07-01,68646
2010-08-01,68646
2010-10-01,68646
2010-11-01,68646
2010-12-01,68646
2011-01-01,68646
2011-02-01,68971
2011-03-01,68971
2011-04-01,68971
2011-06-01,68971
2011-07-01,68971
2011-08-01,68971
2011-09-01,68971
2011-11-01,62552
2011-12-01,62552
2012-01-01,62552
2012-02-01,67990
2012-03-01,67990
2012-04-01,67990
2012-05-01,67990
2012-06-01,67990
2012-07-01,67990
2012-08-01,67990
2012-09-01,67990
2012-10-01,67990
2012-11-01,67990
2012-12-01,67990
2013-01-01,67990
2013-04-01,66512
2013-05-01,66512
2013-06-01,66512
2013-07-01,66512
2013-09-01,64978
2013-10-01,64978
2013-12-01,64978
2014-01-01,64978
2014-02-01,65908
2014-04-01,65908
2014-06-01,65908
2014-08-01,65908
2014-10-01,65908
2014-12-01,65908
2015-01-01,65908
2015-02-01,66883
2015-04-01,66883
2015-06-01,66883
2015-08-01,66883
2015-11-01,66883
2015-12-01,66883
2016-01-01,66883
2016-03-01,65220
2016-05-01,65220
2016-06-01,65220
2016-07-01,65220
2016-08-01,63404
2016-09-01,63404
2016-11-01,63404
2017-01-01,63404
2017-03-01,63404
2017-05-01,67867
2017-07-01,67867
2017-09-01,65014
2017-12-01,65014
2018-02-01,65014
2018-04-01,65014
2018-08-01,65014
2018-11-01,65014
2019-04-01,65014
2019-10-01,67244
2019-12-01,67244
2020-02-01,68240
2020-08-01,68240
2020-11-01,68240
2020-12-01,68240
2021-03-01,68269
2021-08-01,68269
2021-12-01,62496
2022-03-01,62496
2022-07-01,62496
2022-10-01,62496
2023-03-01,62496
2023-12-01,65651
2024-12-01,67517
2025-12-01,68920
